Website Domain,Effective date,Found At,Financing Type,Financing Type Normalized,Categories,Investors,Investors Count,Amount,Amount Normalized,Source Urls
trafigura.com,,2024-03-14T01:00:00+01:00,,,[],N/A,N/A,$1.9b,1900000000,https://www.tradefinanceglobal.com/posts/trafigura-raises-1-9b-in-new-credit-facilities-eyes-expansion
zenobe.com,,2024-05-31T02:00:00+02:00,,,[],"avivainvestors.com, lloydsbankinggroup.com, santander.co.uk, swip.com, cibc.com, societegenerale.com, natwest.us, rabobank.com, mufg.jp",9,$522.7 million,522700000,"https://realassets.ipe.com/news/aviva-among-lenders-backing-zenob-with-410m-of-new-debt/10073524.article, https://media.startupcentrum.com/weekly-startup-ecosystem-overview-in-europe-may-27-31"
zenobe.com,,2024-07-24T02:00:00+02:00,,,"[""private_equity""]",N/A,N/A,£41.7m,53671000,https://www.innovationnewsnetwork.com/zenobe-awarded-41-7m-to-advance-electric-buses-in-scotland/49521
canva.com,,2024-05-01T02:00:00+02:00,,,[],stackcapitalgroup.com,1,US$8 million,8000000,https://www.globenewswire.com/news-release/2024/05/01/2873118/0/en/Stack-Capital-Invests-8-Million-USD-Into-Canva.html
fidelity.com,,2024-04-11T02:00:00+02:00,,,[],chevychasetrust.com,1,$1.96 million,1960000,https://www.defenseworld.net/2024/04/11/chevy-chase-trust-holdings-llc-makes-new-1-96-million-investment-in-fidelity-msci-consumer-discretionary-index-etf-nysearcafdis.html
swtchenergy.com,2024-04-18T02:00:00+02:00,2024-04-24T02:00:00+02:00,Series B,series_b,"[""series_b"", ""venture""]","alantra.com, blueearth.capital",2,$27.2 Million,27200000,"https://www.mercomindia.com/funding-and-ma-roundup-ev-charging-swtch-raises-27-million, https://www.finsmes.com/2024/04/swtch-energy-raises-27-2m-in-series-b-funding.html"
carnow.com,2024-04-16T02:00:00+02:00,2024-04-16T02:00:00+02:00,,,"[""debt_financing""]",runwaygrowth.com,1,$40 million,40000000,"https://www.prnewswire.com/news-releases/runway-growth-capital-provides-a-40-million-growth-investment-to-carnow-302117064.html, https://www.finsmes.com/2024/04/carnow-receives-40m-loan-from-runway-growth-capital.html"
databricks.com,,2024-08-07T02:00:00+02:00,Series I,series_i,"[""series_i"", ""venture""]",N/A,N/A,$685 million,685000000,https://iteuropa.com/news/large-language-model-walks-bar
anthropic.com,,2024-07-08T02:00:00+02:00,,,[],damachotelsandresorts.com,1,$50mn,50000000,https://www.arabianbusiness.com/industries/technology/dubais-damac-group-bets-big-on-ai-with-50mn-investment-in-anthropic
ey.com,,2024-04-18T02:00:00+02:00,,,[],N/A,N/A,AU$10.7M,6865000,https://www.biometricupdate.com/202404/ey-secures-au10-7m-to-build-australia-digital-id-register-after-limited-tender
openpipe.ai,,2024-03-26T01:00:00+01:00,Seed,seed,"[""seed"", ""venture""]",N/A,N/A,$6.7 million,6700000,https://www.geekwire.com/2024/seattle-startup-openpipe-raises-6-7m-to-help-companies-reduce-costs-for-llm-development
canva.com,,2024-05-09T02:00:00+02:00,,,[],surocap.com,1,$2 billion,2000000000,https://www.investing.com/news/stock-market-news/earnings-call-suro-capital-q1-2024-earnings-show-strategic-investments-93CH-3431237
syntetica.co,,2024-07-16T02:00:00+02:00,Seed,seed,"[""seed"", ""venture""]",N/A,N/A,Û4.2 million,4581000,https://tech.eu/2024/07/16/syntetica-raises-eur42m-to-close-the-loop-in-nylon-recycling
zf.com,,2024-07-15T02:00:00+02:00,,,[],eib.org,1,Û425 million,464695000,https://thebrakereport.com/eib-funds-zf-braking-steering-advances
sparelabs.com,,2024-06-05T02:00:00+02:00,,,[],N/A,N/A,$10M,10000000,https://www.finsmes.com/2024/06/spare-receives-10m-in-growth-capital.html
e-zinc.ca,,2024-06-27T02:00:00+02:00,Series A2,series_a2,"[""series_a2"", ""venture""]",N/A,N/A,USD 31M,31000000,https://www.explorebit.io/article/e-Zinc%20Raises%20USD%2031M%20Series%20A2%20Funding
biointelligence.com,,2024-04-25T02:00:00+02:00,,,[],N/A,N/A,$5M,5000000,https://www.prweb.com/releases/biointelligence-technologies-raises-5m-to-accelerate-growth-in-america-and-europe-302125188.html
claritisoftware.com,,2024-04-10T02:00:00+02:00,,,"[""private_equity""]",vistaragrowth.com,1,$24.6 million CAD,18139000,https://betakit.com/government-software-provider-clariti-cloud-secures-24-6-million-cad-from-vistara-growth
heylist.com,2024-06-20T02:00:00+02:00,2024-06-18T02:00:00+02:00,,,"[""private_equity""]",accelia.vc,1,$1.6M,1600000,"https://www.newswire.ca/news-releases/heylist-secures-1-6m-in-funding-to-make-influencer-marketing-accessible-801065350.html, https://finance.yahoo.com/news/heylist-secures-1-6m-funding-130000707.html"
qohash.com,2024-04-24T02:00:00+02:00,2024-04-24T02:00:00+02:00,,,"[""private_equity""]","edc.ca, desjardinscapital.com, fondsftq.com",3,$17.4 million,17400000,"https://qohash.com/qohash-secures-17-4-million-in-series-b-funding-led-by-fonds-de-solidarite-ftq-to-accelerate-growth-of-its-ai-data-security-platform, https://financialit.net/news/fundraising-news/qohash-secures-174-million-series-b-funding-led-fonds-de-solidarite-ftq, https://www.frontlines.io/jean-le-bouthillier-ceo-of-qohash/"
topicflow.com,,2024-06-25T02:00:00+02:00,Seed,seed,"[""seed"", ""venture""]",N/A,N/A,CAD$2.5M,1823000,https://www.finsmes.com/2024/06/topicflow-raises-cad2-5m-in-funding.html
claritisoftware.com,2024-06-26T02:00:00+02:00,2024-06-26T02:00:00+02:00,,,"[""private_equity""]",cibc.com,1,$10 million,10000000,"https://www.marketscreener.com/quote/stock/CANADIAN-IMPERIAL-BANK-OF-1409496/news/CIBC-Innovation-Banking-Provides-10-Million-Growth-Capital-Financing-to-Clariti-47248386, https://www.finsmes.com/2024/06/clariti-receives-10m-in-financing-from-cibc-innovation-banking.html"
biointelligence.com,,2024-04-30T02:00:00+02:00,Seed,seed,"[""seed"", ""venture""]",N/A,N/A,$5 million CAD,3653000,https://betakit.com/biointelligence-technologies-raises-5-million-for-biomanufacturing-efficiency-platform
gaiia.com,2024-06-27T02:00:00+02:00,2024-06-27T02:00:00+02:00,Series A,series_a,"[""series_a"", ""venture""]",inovia.vc,1,US$13.2M,13200000,"https://financialpost.com/globe-newswire/gaiia-raises-series-a-led-by-inovia-capital-to-revolutionize-customer-experience-for-internet-service-providers, https://www.finsmes.com/2024/06/gaiia-raises-us13-2m-in-series-a-financing.html"
sinnstudio.com,,2024-05-22T02:00:00+02:00,,,"[""private_equity"", ""venture""]",N/A,N/A,$2.5M,2500000,https://www.finsmes.com/2024/05/sinn-studio-raises-2-5m-in-funding.html
topicflow.com,,2024-06-25T02:00:00+02:00,,,[],N/A,N/A,$2.5m,2500000,https://www.streetinsider.com/Accesswire/Topicflow+Raises+%242.5m+to+Disrupt+Performance+Reviews+With+AI/23393680.html
